content,label,sender,is_url,is_phone,pred_label,correct,confidence,raw_ai_score,domain_risk,phase,reason,error_type
SPX Express: Kien hang SPXVN3344556677 da giao thanh cong luc 17:05. Cam on ban da mua hang tai Shopee.,0,brandname,0,0,0,True,0.035,0.035,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
"MoMo: Bạn có quà tặng 200.000đ khi giới thiệu bạn bè thanh toán hóa đơn điện, nước trên Ví MoMo. Ưu đãi áp dụng đến hết 31/07/2025. Mở Ví > Ưu đãi để xem chi tiết.",0,brandname,0,0,0,True,0.1862,0.1862,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
HCM – Telegram: H;C;M:T;e;l;e: GIAI-TR!_CUC-M@NH. Änh_v@0-X3m_H!nh-V@_C-L-I-P-N-O-N-G: t.me/hcm_hot_69 vC5,1,personal_number,1,0,0,False,0.25,0.9928,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
Com tam Cali: Ban da dat ban thanh cong cho 6 nguoi luc 12h.,0,personal_number,0,0,1,False,0.9437,0.9437,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,FP_ai_false_alarm
Lich hen kham rang cua Quy khach tai Nha khoa Kim la 9h sang ngay mai.,0,personal_number,0,0,0,True,0.0407,0.0407,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
"VIB: TK ****8472 -42,000,000VND luc 16:15. So du 9,300,000VND. ND: Chuyen khoan lien ngan hang.",0,brandname,0,0,0,True,0.0257,0.0257,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
"eBay cần tuyển nhân viên xử lý đơn đặt hàng TMĐT số lượng có hạn. Thu nhập 500k~3000k/ngày, không yêu cầu bằng cấp. Tuổi 23-60. Zalo: zalo.me/84956789012 Zalo: 84956789012",1,personal_number,1,1,0,False,0.25,0.9466,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
K!m_L0ng_C4sino#tuy3n d4i ly h0a h0ng 45%. Z4lo: 0388221144. Link: kl88.vip,1,shortcode,1,1,1,True,1.0,0.7737,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
VNe1D: X4c thwc t41 khw4n z1nh z4nh mwc 2 ng4y. L1nk: vneid-vn.cc,1,brandname,1,0,1,True,1.0,0.5907,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
L3nh-n@p_t13n* vao tai-khoan d@u_tu-XYZ d@ duoc_tao. Hay chuy3n t13n vao STK 77553311 NH SHB. CT: CTY TNHH DAU TU VA TM,1,personal_number,0,0,1,True,0.9867,0.9867,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
[SACOMBANK] Canh b4o: T4i kh04n cu4 b4n co nguy co b1 xam nh4p. B4m sacombank.vn-at.top d3 b4o v3 t4i s4n.,1,brandname,1,0,1,True,1.0,0.5855,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
"Lazada: Ma xac minh de khoi phuc mat khau cua Quy khach la 772819. Ma co hieu luc trong 5 phut. KHONG chia se ma nay voi nguoi khac, ke ca nhan vien Lazada.",0,brandname,0,0,0,True,0.058,0.058,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
"Ch40 b4n, m1nh l4 L1nh. C0 v13c th4 t1m v1d30 T1kT0k k13m 200k-500k/ng4y k0 c4n v0n. L4m 10 phut x0ng nh4n t13n lu0n.",1,personal_number,0,0,1,True,0.9928,0.9928,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
Z0ng t13n v3 h4ng n-g-4-y f3 f0. Ch1 c4n 15 f-u-t z4t z0n h4ng 0nl1n3 k13m 300k. K-h-0ng c4n k1nh n-g-h-13m.,1,personal_number,0,0,1,True,0.9929,0.9929,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
Sendo: Mã xác minh đổi mật khẩu mới cho tài khoản của bạn là 103948. KHÔNG chia sẻ mã này với bất kỳ ai.,0,brandname,0,0,0,True,0.0534,0.0534,0.0,AI Model,An toàn: Không tìm thấy yếu tố rủi ro trong nội dung.,CORRECT
[HN – Zalo] G-a-i H-N d-a-m d-a-n-g c-a-n t-i-m t-r-i k-y. Z-a-l-o e-m: zalo.me/g/hanoi_dam_dang V9B3,1,personal_number,1,0,0,False,0.25,0.6579,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
"TB KHAN: Trung tam Thu hoi No yeu cau Ong Tran Anh Khoa CMND: 215094321 thanh toan ngay 6,453,000VND trong 24H nua. Bat hop tac se bi truy quet thong tin nguoi than va gui don to cao hanh vi lam dung tin nhiem chiem doat tai san. LH gap: 0866123456.",1,personal_number,0,1,0,False,0.25,0.99,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
